pdb_id,I_QSscore_top,I_QSscore_top_multimer_ranking,I_QSscore_top_plddt,I_QSscore_top_ptm,I_QSscore_top_pae_inter_chain,I_QSscore_top_iptm,I_DockQ_top
1c3g_1,0.0,0.0,0.0,0.0,0.0,0.0,0.014
1cd0_1,0.9507858570881345,0.9507858570881345,0.9507858570881345,0.9507858570881345,0.9488227241469425,0.9507858570881345,0.888
1cd8_1,0.8120624770143726,0.8048520591517568,0.7938388318841928,0.8048520591517568,0.8023237619655416,0.8048520591517568,0.736
1cdt_1,0.008768876267607783,0.008768876267607783,0.005998860822025701,0.008768876267607783,0.0,0.008768876267607783,0.026
1cp2_1,0.8835392033206267,0.817181376835804,0.817181376835804,0.817181376835804,0.22424885534663028,0.817181376835804,0.621
1cx8_2,0.0,0.0,0.0,0.0,0.0,0.0,0.004
1cyy_5,0.07615364591509334,0.07615364591509334,0.04545118298304345,0.07615364591509334,0.04545118298304345,0.07615364591509334,0.083
1d1t_4,0.977869515397574,0.977869515397574,0.976547329270493,0.977869515397574,0.9768385941139309,0.9774001743620302,0.941
1d5w_2,0.9776518393859834,0.9776518393859834,0.9772215560421795,0.9776518393859834,0.9753624169371433,0.9776518393859834,0.953
1dd7_1,0.0,0.0,0.0,0.0,0.0,0.0,0.004
1dgk_1,0.0,0.0,0.0,0.0,0.0,0.0,0.013
1dov_3,0.0,0.0,0.0,0.0,0.0,0.0,0.018
1dp4_1,0.9682042122922747,0.9682042122922747,0.9682042122922747,0.9682042122922747,0.9219918068828689,0.9682042122922747,0.888
1dp4_2,0.9550329375658086,0.9550329375658086,0.9550329375658086,0.9550329375658086,0.8213951521900222,0.9550329375658086,0.839
1dt9_4,0.0,0.0,0.0,0.0,0.0,0.0,0.008
1dvr_1,0.0,0.0,0.0,0.0,0.0,0.0,0.009
1e0r_2,0.6967245317448449,0.6967245317448449,0.6967245317448449,0.6967245317448449,0.00982345029945284,0.6967245317448449,0.532
1e59_1,0.9729583816743145,0.9723329867103029,0.9723329867103029,0.9723329867103029,0.9708137313538134,0.9723329867103029,0.952
1e6c_1,0.0,0.0,0.0,0.0,0.0,0.0,0.013
1e7n_1,0.8216159392699942,0.7949338940543864,0.8162952104893995,0.7949338940543864,0.7962346600427801,0.7949338940543864,0.66
1e85_1,0.7996008523392817,0.7726785777483957,0.7996008523392817,0.7726785777483957,0.794618249085528,0.7726785777483957,0.953
1ecx_1,0.0,0.0,0.0,0.0,0.0,0.0,0.004
1eeq_1,0.8677556163112423,0.8486087853689762,0.8526080129791684,0.8486087853689762,0.8677556163112423,0.8486087853689762,0.726
1eku_1,0.592418142308386,0.01348064185927711,0.01348064185927711,0.01348064185927711,0.592418142308386,0.01348064185927711,0.244
1eqw_2,0.9666658959305424,0.9599282561569843,0.9634545668171999,0.9599282561569843,0.9660144824673914,0.9599282561569843,0.969
1erv_1,0.1918839975847117,0.15038729901911518,0.13550646126495494,0.15038729901911518,0.14744618126112358,0.15038729901911518,0.164
1esr_1,0.0,0.0,0.0,0.0,0.0,0.0,0.011
1ewj_2,0.8883618352678582,0.8868885867725138,0.8830553604154144,0.8868885867725138,0.8883618352678582,0.8868885867725138,0.922
1ex2_1,0.0,0.0,0.0,0.0,0.0,0.0,0.009
1f1c_1,0.0,0.0,0.0,0.0,0.0,0.0,0.018
1f1g_2,0.9808662616677033,0.9783045529876715,0.9805997176909049,0.9783045529876715,0.9793377627761795,0.9783045529876715,0.972
1f1j_5,0.0,0.0,0.0,0.0,0.0,0.0,0.01
1fcf_6,0.0,0.0,0.0,0.0,0.0,0.0,0.006
1fdj_11,0.0,0.0,0.0,0.0,0.0,0.0,0.005
1fe0_1,0.9798218837996842,0.9798218837996842,0.9794094359428374,0.9798218837996842,0.9775615312039829,0.9798218837996842,0.958
1fp3_2,0.9726303665511786,0.9697087955088478,0.9697087955088478,0.9697087955088478,0.9726303665511786,0.9697087955088478,0.958
1fp5_1,0.7768777800389697,0.6510771778228329,0.6510771778228329,0.6510771778228329,0.7768777800389697,0.6510771778228329,0.679
1fpq_1,0.4183376350726337,0.4168238054868773,0.4168238054868773,0.4168238054868773,0.41569417211190857,0.4168238054868773,0.179
1fr1_1,0.08770544531174908,0.0,0.00040150061123076175,0.0,0.00040150061123076175,0.0,0.053
1fse_3,NA,NA,NA,NA,NA,NA,NA
1fu1_8,0.0032655474114401933,0.0016875388348757815,0.002030166998363716,0.0016875388348757815,0.0022573838403555473,0.0016875388348757815,0.002
1fux_1,0.9854086525241323,0.9842453745182117,0.984400244959946,0.9842453745182117,0.9849598924650543,0.9842453745182117,0.976
1fvp_1,0.9333191296182968,0.9106990334540358,0.9333191296182968,0.9106990334540358,0.7536991841004627,0.9106990334540358,0.82
1fzv_1,0.9654853945559334,0.9649314211017149,0.9649314211017149,0.9649314211017149,0.9649590486556782,0.9649314211017149,0.861
1g68_1,0.4445064624764618,0.4445064624764618,0.41065239954004185,0.4445064624764618,0.31295427631418166,0.4445064624764618,0.345
1g73_7,0.0,0.0,0.0,0.0,0.0,0.0,0.007
1gam_1,0.9518485950916266,0.9464561773125725,0.9518485950916266,0.9464561773125725,0.9391949877011442,0.9464561773125725,0.886
1gan_1,0.9343183776045311,0.9343183776045311,0.9266095448499794,0.9343183776045311,0.7327790557366696,0.9343183776045311,0.792
1gcj_1,0.005063481993531053,0.0,0.0,0.0,0.0,0.0,0.024
1ggt_10,0.0007336962310072699,4.330366419976952e-05,0.0007336962310072699,0.0002597189156646092,0.00011136623540608071,4.330366419976952e-05,0.007
1gmz_1,0.40640223943261305,0.3332761606204882,0.3332761606204882,0.3332761606204882,0.2618830790995019,0.3332761606204882,0.245
1gxd_4,0.0,0.0,0.0,0.0,0.0,0.0,0.006
1gyl_1,0.0,0.0,0.0,0.0,0.0,0.0,0.006
1gyo_1,0.9039866154020605,0.9021333076064774,0.8992495325320109,0.9021333076064774,0.9003794482751692,0.9021333076064774,0.851
1h0x_1,0.9827442826897661,0.9819295428408544,0.9812258944506813,0.9819295428408544,0.9827442826897661,0.9819295428408544,0.905
1h1y_1,0.9768426730524712,0.9768426730524712,0.9762106418386776,0.9768426730524712,0.9763631162650194,0.9768426730524712,0.961
1h3i_1,0.27563263695742496,0.09363885197898501,0.0,0.09363885197898501,0.14256197403570728,0.09363885197898501,0.143
1ha4_1,0.9061852325344087,0.9046056793112035,0.9046056793112035,0.9046056793112035,0.9048360708322001,0.9046056793112035,0.824
1hjr_1,0.9545606751392094,0.9545606751392094,0.9519605585131194,0.9545606751392094,0.9536081961257769,0.9545606751392094,0.894
1hlc_1,0.9519636651538455,0.9519636651538455,0.9480057541367609,0.9519636651538455,0.9503820017756982,0.9519636651538455,0.923
1hq8_1,0.32399308513944486,0.13908456948231737,0.13908456948231737,0.13908456948231737,0.32399308513944486,0.13908456948231737,0.192
1hsj_1,0.5577860063626695,0.5577860063626695,0.4891481011700666,0.4891481011700666,0.4239151029060902,0.5577860063626695,0.213
1hux_1,0.9043393041458673,0.9039910388462998,0.9039910388462998,0.9039910388462998,0.8995349858070657,0.9039910388462998,0.741
1hy3_1,0.9772718772118992,0.9772718772118992,0.9772718772118992,0.9772718772118992,0.0,0.9772718772118992,0.99
1i49_3,0.0,0.0,0.0,0.0,0.0,0.0,0.004
1i74_1,0.9693496548958231,0.9506475999049216,0.9676926352973956,0.9506475999049216,0.9676926352973956,0.9506475999049216,0.748
1ibd_1,0.9835131094574756,0.9835131094574756,0.9827337512662531,0.9835131094574756,0.9807819986298365,0.9835131094574756,0.991
1ici_5,0.42915977405501343,0.0649864375921905,0.42915977405501343,0.0649864375921905,0.01022459044889463,0.0649864375921905,0.371
1ii2_1,0.9469068399911191,0.9440016633303486,0.9440016633303486,0.9440016633303486,0.9454428073090827,0.9440016633303486,0.866
1iiw_1,0.9399722572298248,0.9241860454179276,0.9133060174642804,0.9241860454179276,0.9260166725002833,0.9241860454179276,0.938
1ijy_1,0.32038426338028775,0.0,0.0,0.0,0.0,0.0,0.289
1iqc_1,0.9766070100532867,0.9759049996009559,0.9759326141265942,0.9759049996009559,0.9744782403464153,0.9759049996009559,0.936
1is3_1,0.9574528632329519,0.9574528632329519,0.9574528632329519,0.9574528632329519,0.7141836096536952,0.9574528632329519,0.957
1iug_1,0.9595601174162444,0.9481651424210042,0.9410091594232581,0.9481651424210042,0.9595601174162444,0.9481651424210042,0.942
1ivl_1,0.09770239935878595,0.09770239935878595,0.09483645733750161,0.09770239935878595,0.09410225675056812,0.09770239935878595,0.06
1ix9_1,0.9438872870618671,0.9398251281946092,0.9438872870618671,0.9398251281946092,0.9399602256004612,0.9398251281946092,0.846
1ixq_2,0.9197150447510619,0.37729979337142083,0.8958046005672092,0.9197150447510619,0.8961818277206485,0.37729979337142083,0.964
1iyz_1,0.0,0.0,0.0,0.0,0.0,0.0,0.007
1j1i_1,0.9784334850952046,0.9765382432052463,0.9763842907675041,0.9765382432052463,0.977792302953983,0.9765382432052463,0.606
1j36_3,0.0002723253785843473,0.0,0.0,0.0,0.0,0.0,0.01
1j8b_1,0.9561224841956236,0.844962318995327,0.844962318995327,0.844962318995327,0.9542376330169212,0.844962318995327,0.901
1j8f_5,0.10996501963086269,0.10577508315258571,0.10577508315258571,0.10577508315258571,0.09707201947182717,0.10577508315258571,0.076
1jbg_1,0.9038440099586392,0.8997067348426657,0.8997067348426657,0.8997067348426657,0.9038440099586392,0.8997067348426657,0.86
1jhe_1,0.6935115878623237,0.686655484884102,0.686655484884102,0.6875961329070713,0.6935115878623237,0.686655484884102,0.95
1jil_1,0.0,0.0,0.0,0.0,0.0,0.0,0.007
1jm0_2,0.9427476898768479,0.8907356579125767,0.9251623433214093,0.8907356579125767,0.9427476898768479,0.8907356579125767,0.919
1jog_2,0.9736793588811363,0.9602565540764647,0.9736793588811363,0.9602565540764647,0.9604549425708172,0.9602565540764647,0.928
1jqj_9,8.079586523280154e-05,0.0,0.0,0.0,8.079586523280154e-05,0.0,0.017
1jr9_1,0.9788042347701343,0.9782308275118875,0.9781623730792728,0.9782308275118875,0.9775880653134867,0.9782308275118875,0.946
1jrk_1,0.928745190243487,0.9270722558386288,0.9256084512374504,0.9270722558386288,0.9255540365634498,0.9270722558386288,0.829
1juh_9,0.905783790775387,0.9027158688894547,0.9027158688894547,0.9027158688894547,0.905783790775387,0.9027158688894547,0.748
1jye_1,0.0,0.0,0.0,0.0,0.0,0.0,0.007
1jzo_1,0.9770268955738578,0.9764287342331224,0.9764287342331224,0.9764287342331224,0.9769265314113995,0.9764287342331224,0.68
1k1y_4,0.0,0.0,0.0,0.0,0.0,0.0,0.004
1k46_1,0.0,0.0,0.0,0.0,0.0,0.0,0.011
1k6i_3,0.05168148411433162,0.0,0.009077113935241667,0.0,0.01157817297349234,0.0,0.053
1k9a_11,0.13451266615389518,0.002222068370154462,0.13451266615389518,0.13451266615389518,0.0,0.002222068370154462,0.215
1kcm_6,0.2655287148282116,0.0013826405775525252,0.02060986467570191,0.0013826405775525252,0.0,0.0013826405775525252,0.274
1kez_1,0.8685772313700029,0.8640700878607728,0.8602830634375713,0.8640700878607728,0.8685772313700029,0.8640700878607728,0.549
1kho_1,0.15207907128185946,0.15207907128185946,0.0,0.11190032411480333,0.0,0.15207907128185946,0.075
1khx_2,0.11769151483974569,0.11769151483974569,0.01790867639386125,0.11769151483974569,2.2852208736187996e-05,0.11769151483974569,0.056
1kie_1,0.734851911671528,0.7276282425099356,0.7304261604464897,0.7276282425099356,0.7265190757791434,0.7276282425099356,0.827
1kix_3,0.016443738788935753,0.01289658792025472,0.01289658792025472,0.01289658792025472,0.0003234600753910346,0.01289658792025472,0.053
1ks2_1,0.9547044526184469,0.9534089484263918,0.9534089484263918,0.9534089484263918,0.9522532009080326,0.9534089484263918,0.78
1ktn_1,0.9672135276259918,0.9658448014536121,0.9656018176536331,0.9658448014536121,0.9656018176536331,0.9658448014536121,0.907
1ku2_1,0.02453171720370855,0.0,0.024308804268546893,0.0,0.024308804268546893,0.0,0.052
1ku2_4,0.0511361367816062,0.02254369362214335,0.0,0.02254369362214335,0.0511361367816062,0.02254369362214335,0.042
1kut_1,0.9716841967588713,0.9713038778788321,0.9716841967588713,0.9713038778788321,0.9689289012174267,0.9713038778788321,0.859
1kvo_2,0.0,0.0,0.0,0.0,0.0,0.0,0.018
1l7c_5,0.06785789188702644,0.06785789188702644,0.011833809890305325,0.013905555375179908,0.003617449825639492,0.06785789188702644,0.126
1lee_3,0.3861120743431872,0.3861120743431872,0.3861120743431872,0.062400353604031907,0.04582940167351711,0.3861120743431872,0.256
1lkv_6,0.018473847902636113,0.002761759115430132,0.002761759115430132,0.002761759115430132,0.015077940298303828,0.002761759115430132,0.021
1lvb_5,0.04346252965554499,0.03500143932275161,0.03474209149080201,0.03500143932275161,0.03474209149080201,0.03500143932275161,0.022
1lws_4,0.005966477579804506,0.0,0.005966477579804506,0.0,0.0,0.0,0.011
1lyn_1,0.8244992157843887,0.8244992157843887,0.8015248219087058,0.8244992157843887,0.633996753990604,0.8244992157843887,0.668
1m08_1,0.012701104338347336,0.0,0.0,0.0,0.0015804744943259336,0.0,0.062
1m2a_1,0.7134764814910128,0.7095251582124985,0.7095251582124985,0.7095251582124985,0.7134764814910128,0.7095251582124985,0.9
1m6b_2,0.0,0.0,0.0,0.0,0.0,0.0,0.006
1m6u_9,0.07604750361280325,0.07208033247570045,0.07604750361280325,0.07208033247570045,0.02317584545917892,0.07208033247570045,0.041
1mft_1,0.9263613804670178,0.9212527444668339,0.9234542262065737,0.9212527444668339,0.9221146707896312,0.9212527444668339,0.906
1mi8_1,0.955815416741365,0.9498895273817054,0.9500376377131213,0.9498895273817054,0.0,0.9498895273817054,0.909
1mml_2,0.15418226447641997,0.15418226447641997,0.11646451953946958,0.10682609498016836,0.0,0.15418226447641997,0.108
1mp9_1,0.9588088747239414,0.9528224956906425,0.9528224956906425,0.9528224956906425,0.9485064915334938,0.9528224956906425,0.86
1mqd_4,0.9745756982867031,0.9728665135495601,0.9728665135495601,0.9728665135495601,0.9745756982867031,0.9728665135495601,0.96
1mvh_1,0.0,0.0,0.0,0.0,0.0,0.0,0.019
1my6_1,0.9881820852147907,0.9874146697137755,0.9872112321616279,0.9874146697137755,0.9862774169304072,0.9874146697137755,0.965
1my7_1,0.9843871093131815,0.982350601593755,0.9839754117019498,0.982350601593755,0.9812653287498705,0.982350601593755,0.899
1n0v_2,0.010139708392167053,0.010139708392167053,0.010139708392167053,0.010139708392167053,0.0,0.010139708392167053,0.031
1nf7_4,0.0,0.0,0.0,0.0,0.0,0.0,0.005
1nfs_1,0.9798344414456024,0.9797456170130501,0.9796115519021661,0.9797456170130501,0.9793080716275322,0.9797456170130501,0.952
1nft_1,0.061050343018728165,0.061050343018728165,0.061050343018728165,0.061050343018728165,0.016105785242826177,0.061050343018728165,0.04
1nft_2,0.0,0.0,0.0,0.0,0.0,0.0,0.008
1np6_1,0.8043483295541495,0.8043483295541495,0.7569589188879714,0.8043483295541495,0.7723151786763998,0.8043483295541495,0.75
1np8_1,0.12390012837663959,0.027623339178013778,0.06202097867927543,0.027623339178013778,0.1012127049702722,0.027623339178013778,0.061
1ns5_1,0.9028944953863979,0.9028944953863979,0.9028944953863979,0.9028944953863979,0.901957245042434,0.9028944953863979,0.81
1nvt_1,0.8697398632178994,0.824189036828653,0.824189036828653,0.824189036828653,0.8697398632178994,0.824189036828653,0.744
1nzi_1,0.8831848459656804,0.8831848459656804,0.8772237699548056,0.8831848459656804,0.882610311379737,0.8831848459656804,0.758
1o12_1,0.956133128377097,0.9555488027369696,0.9555488027369696,0.9555488027369696,0.9547012848603518,0.9555488027369696,0.859
1o64_1,0.9517513534660612,0.9485221826059235,0.9517513534660612,0.9485221826059235,0.948650776830744,0.9485221826059235,0.932
1o6d_2,0.9607000380555516,0.8703194079940423,0.9602997721750192,0.8703194079940423,0.9523721424439303,0.8703194079940423,0.926
1o92_2,0.0,0.0,0.0,0.0,0.0,0.0,0.007
1obb_1,0.9807608247160361,0.9762147026433308,0.9762147026433308,0.9762147026433308,0.9807608247160361,0.9762147026433308,0.912
1ohq_1,0.2567028907351312,0.095350103829898,0.095350103829898,0.095350103829898,0.06707281087799824,0.095350103829898,0.142
1okj_1,0.9087850882220325,0.9027710636145229,0.9027710636145229,0.9027710636145229,0.9060983886559221,0.9000078077079079,0.538
1or3_7,0.2137917056535766,0.2137917056535766,0.17538297304996686,0.17538297304996686,0.002182883861122211,0.2137917056535766,0.067
1ors_10,0.11870548305292014,0.11870548305292014,0.11870548305292014,0.11870548305292014,0.045571731692282,0.11870548305292014,0.091
1ov4_1,0.9743331991931935,0.9731584210748543,0.9718140040110853,0.9731584210748543,0.9464376625828864,0.9731584210748543,0.745
1ovn_1,0.8911563793268021,0.8763299934164576,0.8763299934164576,0.8763299934164576,0.8762205180198652,0.8763299934164576,0.736
1oya_1,0.9803165536329248,0.9803165536329248,0.9787198676411726,0.9803165536329248,0.9799119577081381,0.9803165536329248,0.937
1p35_11,0.013078127667060964,0.005473740387372825,0.0,0.013078127667060964,0.013078127667060964,0.005473740387372825,0.048
1p8l_1,0.0,0.0,0.0,0.0,0.0,0.0,0.011
1pcz_1,0.8767220914310913,0.8480274089489637,0.8743450296276221,0.8480274089489637,0.8483611976908805,0.8480274089489637,0.705
1pd5_26,0.0,0.0,0.0,0.0,0.0,0.0,0.01
1poe_1,0.0,0.0,0.0,0.0,0.0,0.0,0.015
1pp3_2,0.05945923227917344,0.05945923227917344,0.008829474094113925,0.05945923227917344,0.01161013112217559,0.05945923227917344,0.047
1prx_1,0.8361105157156165,0.8303566133096142,0.832201719069674,0.8303566133096142,0.8361105157156165,0.8285406204298024,0.673
1psa_1,0.06495884974752346,0.01866752048387841,0.01866752048387841,0.01866752048387841,0.023060037143832045,0.01866752048387841,0.056
1psq_1,0.9716164563271473,0.96880180566802,0.96880180566802,0.96880180566802,0.9646598316226168,0.96880180566802,0.949
1pxv_1,0.36122371772749334,0.2016354236872095,0.36122371772749334,0.2016354236872095,0.12233747428836034,0.2016354236872095,0.226
1q1e_2,0.0,0.0,0.0,0.0,0.0,0.0,0.005
1q1n_1,0.8569743428609483,0.8569743428609483,0.8569743428609483,0.8569743428609483,0.8438422354564468,0.8569743428609483,0.841
1q4j_1,0.0012370107073340403,0.0,0.0,0.0,0.0,0.0,0.014
1q7s_3,0.8446939179918292,0.8432639346182141,0.843799052388736,0.8432639346182141,0.8367721766052053,0.8432639346182141,0.69
1q98_1,0.9338912876608134,0.9306461359018801,0.9306461359018801,0.9306461359018801,0.9295958385919467,0.9306461359018801,0.737
1qex_1,0.1555407599001502,0.15282448040032745,0.15282448040032745,0.15282448040032745,0.15217268081263918,0.15282448040032745,0.146
1qex_6,0.03110211234856545,0.03110211234856545,0.03110211234856545,0.03110211234856545,0.02389452883385034,0.03110211234856545,0.007
1qg7_1,0.8014574063576767,0.8011702535889363,0.8011702535889363,0.8011702535889363,0.17299482736446115,0.8011702535889363,0.646
1qhm_4,0.0,0.0,0.0,0.0,0.0,0.0,0.003
1qhq_3,0.9426199541148653,0.9371030785061477,0.9371030785061477,0.9371030785061477,0.2465647884643437,0.9371030785061477,0.836
1qkd_1,0.7884254663085536,0.641128735887748,0.641128735887748,0.641128735887748,0.47983345302024893,0.641128735887748,0.518
1qmj_1,0.9565830474883901,0.9565830474883901,0.9209446732671644,0.9209446732671644,0.918351243780292,0.9565830474883901,0.91
1qpg_1,0.0,0.0,0.0,0.0,0.0,0.0,0.02
1qq7_1,0.9778037490086428,0.9776394433056176,0.9765465289434094,0.9776394433056176,0.9773297827311987,0.9776394433056176,0.95
1qrd_1,0.0,0.0,0.0,0.0,0.0,0.0,0.007
1qto_1,0.9747488446665217,0.9730967630965426,0.9733442719921072,0.9730967630965426,0.9743597413587007,0.9730967630965426,0.95
1qvt_19,0.0,0.0,0.0,0.0,0.0,0.0,0.009
1qvw_1,0.9639064618917424,0.960071645892157,0.9427495423270323,0.960071645892157,0.903121648434619,0.960071645892157,0.91
1qxh_1,0.9573207725284829,0.94135721847262,0.9573207725284829,0.94135721847262,0.9306148418630223,0.94135721847262,0.919
1qya_1,0.9832807708331459,0.9832807708331459,0.9832807708331459,0.9832807708331459,0.9822368326450139,0.9832807708331459,0.954
1r5q_2,0.9642683063159508,0.96167523031271,0.96167523031271,0.9631899306976803,0.9606195823247388,0.96167523031271,0.736
1r7j_1,0.9255909839465519,0.9195051454379496,0.9195051454379496,0.9195051454379496,0.9060850910490048,0.9107115178874382,0.871
1rcw_2,0.9801568174526047,0.9785627955062312,0.9787219896349938,0.9785627955062312,0.9799873086489235,0.9785627955062312,0.918
1rfy_1,0.9743081278530076,0.9714046452896136,0.9666595456421471,0.9666595456421471,0.9743081278530076,0.9714046452896136,0.853
1rk4_1,0.06043416841014563,0.02046145925998813,0.037004908162564014,0.02046145925998813,0.06043416841014563,0.02046145925998813,0.085
1rkr_5,0.34544379813631515,0.21153372003911705,0.30663752472486117,0.21153372003911705,0.2917264345560104,0.21153372003911705,0.185
1rp5_3,0.00020390046580906186,0.00020390046580906186,0.0,0.0,0.0,0.00020390046580906186,0.011
1rpa_1,0.9575230035775362,0.9569972548630161,0.9569972548630161,0.9569972548630161,0.9575230035775362,0.9569972548630161,0.928
1rtv_1,0.0,0.0,0.0,0.0,0.0,0.0,0.014
1rz6_2,0.7981740869941013,0.7975488830769287,0.7815936859091281,0.7975488830769287,0.7940133620968957,0.7815936859091281,0.591
1s9c_6,0.9633213317112914,0.9612919476128743,0.9633213317112914,0.9612919476128743,0.9633213317112914,0.9612919476128743,0.956
1s9p_1,0.9708216764231028,0.9671307309080232,0.9678745821888993,0.9671307309080232,0.9653283394792381,0.9671307309080232,0.893
1s9p_5,0.0,0.0,0.0,0.0,0.0,0.0,0.009
1se8_1,0.0,0.0,0.0,0.0,0.0,0.0,0.009
1sfl_1,0.9487914396830127,0.9457391284520882,0.9457391284520882,0.9457391284520882,0.9487914396830127,0.9457391284520882,0.937
1sfr_4,0.7712331144048182,0.7712331144048182,0.7712331144048182,0.7712331144048182,0.6004616944201702,0.7712331144048182,0.45
1si5_3,0.019506128394011533,0.0,0.0,0.0,0.0,0.0,0.029
1slb_2,0.948580940242428,0.9485460532231358,0.9485222549135267,0.9485460532231358,0.9469248874005157,0.9485460532231358,0.867
1som_1,0.0,0.0,0.0,0.0,0.0,0.0,0.005
1srr_1,0.038424487938431284,0.038424487938431284,0.038424487938431284,0.038424487938431284,0.03430986534502674,0.038424487938431284,0.068
1sw2_4,0.1345891462578948,0.1345891462578948,0.04891595679416317,0.1345891462578948,0.0,0.1345891462578948,0.047
1sxs_1,0.9660592764788224,0.9622495086818853,0.9622495086818853,0.9622495086818853,0.9644221736983911,0.9622495086818853,0.895
1syq_8,0.0,0.0,0.0,0.0,0.0,0.0,0.007
1t0i_1,0.9581412177633503,0.9539837805999898,0.9577037700947271,0.9539837805999898,0.9569181320602022,0.9539837805999898,0.883
1t1e_2,0.0,0.0,0.0,0.0,0.0,0.0,0.006
1t1l_1,0.35504176090002104,0.35504176090002104,0.12261454416250658,0.35504176090002104,0.04376321154849444,0.35504176090002104,0.366
1t3w_1,0.6645329264504132,0.6189455925928348,0.6189455925928348,0.6189455925928348,0.6645329264504132,0.6189455925928348,0.434
1taq_5,0.001276601278571928,0.0,0.0,0.0,0.0,0.0,0.007
1tf5_1,0.0036731360312558573,0.0003691911388492587,0.0020769985899592425,0.0003691911388492587,0.0036731360312558573,0.0020769985899592425,0.017
1tfg_1,0.9507196749576411,0.9487307250810283,0.9406735076686319,0.9406735076686319,0.9487307250810283,0.9494753847265383,0.669
1tmk_1,0.9745432917967426,0.9697202911275438,0.9697202911275438,0.9697202911275438,0.9679905420904708,0.9697202911275438,0.964
1to0_3,0.7367464966652809,0.6846828033215228,0.7253513256962034,0.6846828033215228,0.7276465120808691,0.6846828033215228,0.944
1to4_1,0.9619364321496077,0.96008660954714,0.96008660954714,0.96008660954714,0.9614971916277115,0.96008660954714,0.788
1tvd_1,0.9666729427896756,0.9610970183087336,0.9610970183087336,0.9610970183087336,0.9622793271541321,0.9610970183087336,0.944
1txn_1,0.004448969695966627,0.004448969695966627,0.004282946397679151,0.004448969695966627,0.0043093304165798966,0.004448969695966627,0.023
1tz3_1,0.912442498038994,0.8965655335423841,0.8965655335423841,0.8965655335423841,0.8967683221524954,0.8965655335423841,0.732
1u07_1,0.9715532392925273,0.9706644548820625,0.9713071045668041,0.9706644548820625,0.9699364118771885,0.9706644548820625,0.932
1u20_1,0.9637455620983296,0.9579271112415993,0.9604539506536306,0.9579271112415993,0.9637455620983296,0.9579271112415993,0.632
1u2j_24,0.0,0.0,0.0,0.0,0.0,0.0,0.025
1u3z_1,0.9802378698366264,0.9759908427939494,0.9759908427939494,0.9759908427939494,0.9771014394285114,0.9759908427939494,0.976
