Method,VenclovasLab.csv_F_Voronota_glob_light_score,VenclovasLab.csv_F_Voronota_glob_dark_score,VenclovasLab.csv_F_Voronota_glob_area,VenclovasLab.csv_F_Voronota_glob_area_per_atom,VenclovasLab.csv_F_Voronota_glob_nonprotein_area,VenclovasLab.csv_F_Voronota_glob_volume,VenclovasLab.csv_F_Voronota_glob_volume_per_atom,VenclovasLab.csv_F_Voronota_glob_energy,VenclovasLab.csv_F_Voronota_glob_energy_norm,VenclovasLab.csv_F_Voronota_glob_energy_per_atom,VenclovasLab.csv_F_Voronota_glob_sas_area,VenclovasLab.csv_F_Voronota_glob_sas_area_per_atom,VenclovasLab.csv_F_Voronota_glob_sas_energy,VenclovasLab.csv_F_Voronota_glob_sas_energy_norm,VenclovasLab.csv_F_Voronota_glob_sas_energy_per_atom,VenclovasLab.csv_F_Voronota_glob_nonsas_area,VenclovasLab.csv_F_Voronota_glob_nonsas_area_per_atom,VenclovasLab.csv_F_Voronota_glob_nonsas_energy,VenclovasLab.csv_F_Voronota_glob_nonsas_energy_norm,VenclovasLab.csv_F_Voronota_glob_nonsas_energy_per_atom,VenclovasLab.csv_F_Voronota_iface_atoms,VenclovasLab.csv_F_Voronota_iface_atoms_light_score,VenclovasLab.csv_F_Voronota_iface_area,VenclovasLab.csv_F_Voronota_iface_energy,VenclovasLab.csv_F_Voronota_iface_energy_norm,VenclovasLab.csv_F_Voronota_iface_energy_per_atom,VenclovasLab.csv_F_Voronota_iface_shelled_energy,VenclovasLab.csv_F_Voronota_iface_shelled_energy_norm,VenclovasLab.csv_F_Voronota_iface_shelled_energy_per_atom,VenclovasLab.csv_F_Voronota_iface_expanded_area,VenclovasLab.csv_F_Voronota_iface_expanded_energy,VenclovasLab.csv_F_Voronota_iface_expanded_energy_norm,VenclovasLab.csv_F_Voronota_iface_expanded_energy_per_atom,VenclovasLab.csv_F_Voronota_iface_expanded_shelled_energy,VenclovasLab.csv_F_Voronota_iface_expanded_shelled_energy_norm,VenclovasLab.csv_F_Voronota_iface_expanded_shelled_energy_per_atom,VenclovasLab.csv_F_Voronota_split_light_score,VenclovasLab.csv_F_Voronota_split_dark_score,VenclovasLab.csv_F_Voronota_split_area,VenclovasLab.csv_F_Voronota_split_area_per_atom,VenclovasLab.csv_F_Voronota_split_volume,VenclovasLab.csv_F_Voronota_split_volume_per_atom,VenclovasLab.csv_F_Voronota_split_energy,VenclovasLab.csv_F_Voronota_split_energy_norm,VenclovasLab.csv_F_Voronota_split_energy_per_atom,VenclovasLab.csv_F_Voronota_split_sas_area,VenclovasLab.csv_F_Voronota_split_sas_area_per_atom,VenclovasLab.csv_F_Voronota_split_sas_energy,VenclovasLab.csv_F_Voronota_split_sas_energy_norm,VenclovasLab.csv_F_Voronota_split_sas_energy_per_atom,VenclovasLab.csv_F_Voronota_split_nonsas_area,VenclovasLab.csv_F_Voronota_split_nonsas_area_per_atom,VenclovasLab.csv_F_Voronota_split_nonsas_energy,VenclovasLab.csv_F_Voronota_split_nonsas_energy_norm,VenclovasLab.csv_F_Voronota_split_nonsas_energy_per_atom,VenclovasLab.csv_F_Voronota_diff_glob_light_score,VenclovasLab.csv_F_Voronota_diff_glob_dark_score,VenclovasLab.csv_F_Voronota_diff_glob_area,VenclovasLab.csv_F_Voronota_diff_glob_area_per_atom,VenclovasLab.csv_F_Voronota_diff_glob_energy,VenclovasLab.csv_F_Voronota_diff_glob_energy_norm,VenclovasLab.csv_F_Voronota_diff_glob_energy_per_atom,VenclovasLab.csv_F_Voronota_diff_glob_volume,VenclovasLab.csv_F_Voronota_diff_glob_volume_per_atom,VenclovasLab.csv_F_Voronota_diff_sas_area,VenclovasLab.csv_F_Voronota_diff_sas_area_per_atom,VenclovasLab.csv_F_Voronota_diff_sas_energy,VenclovasLab.csv_F_Voronota_diff_sas_energy_norm,VenclovasLab.csv_F_Voronota_diff_sas_energy_per_atom,VenclovasLab.csv_F_Voronota_diff_nonsas_area,VenclovasLab.csv_F_Voronota_diff_nonsas_area_per_atom,VenclovasLab.csv_F_Voronota_diff_nonsas_energy,VenclovasLab.csv_F_Voronota_diff_nonsas_energy_norm,VenclovasLab.csv_F_Voronota_diff_nonsas_energy_per_atom,Oliva_rawdata_v3.csv_F_num_of_contacs,Oliva_rawdata_v3.csv_F_PA,Oliva_rawdata_v3.csv_F_PAr,Oliva_rawdata_v3.csv_F_PAl,Oliva_rawdata_v3.csv_F_CA,Oliva_rawdata_v3.csv_F_CAr,Oliva_rawdata_v3.csv_F_CAl,Oliva_rawdata_v3.csv_F_CP,Oliva_rawdata_v3.csv_F_PP,Oliva_rawdata_v3.csv_F_CC,Oliva_rawdata_v3.csv_F_ArAr,Oliva_rawdata_v3.csv_F_AlAl,Oliva_rawdata_v3.csv_F_AlAr,Oliva_rawdata_v3.csv_F_AAr,Oliva_rawdata_v3.csv_F_AAl,Oliva_rawdata_v3.csv_F_AA,Oliva_rawdata_v3.csv_F_fPA,Oliva_rawdata_v3.csv_F_fPAr,Oliva_rawdata_v3.csv_F_fPAl,Oliva_rawdata_v3.csv_F_fCA,Oliva_rawdata_v3.csv_F_fCAr,Oliva_rawdata_v3.csv_F_fCAl,Oliva_rawdata_v3.csv_F_fCP,Oliva_rawdata_v3.csv_F_fPP,Oliva_rawdata_v3.csv_F_fCC,Oliva_rawdata_v3.csv_F_fArAr,Oliva_rawdata_v3.csv_F_fAlAl,Oliva_rawdata_v3.csv_F_fAlAr,Oliva_rawdata_v3.csv_F_fAAr,Oliva_rawdata_v3.csv_F_fAAl,Oliva_rawdata_v3.csv_F_fAA,Oliva_rawdata_v3.csv_F_BSA_Freesasa,Oliva_rawdata_v3.csv_F_BSA_Polar_Freesasa,Oliva_rawdata_v3.csv_F_BSA_Apolar_Freesasa,Oliva_rawdata_v3.csv_F_BSA_naccess,Oliva_rawdata_v3.csv_F_BSA_Polar naccess,Oliva_rawdata_v3.csv_F_BSA_Apolar_naccess,LyonMOBIGroup_MOBI_raw_scores.csv_F_shape,LyonMOBIGroup_MOBI_raw_scores.csv_F_hydro,FurmanLab_interface_analyzer_disulf.csv_F_I-sc,FurmanLab_interface_analyzer_disulf.csv_F_dG-cross/dSASAx100,FurmanLab_interface_analyzer_disulf.csv_F_dG-separated/dSASAx100,FurmanLab_interface_analyzer_disulf.csv_F_dSASA-polar,FurmanLab_interface_analyzer_disulf.csv_F_fa-dun,FurmanLab_interface_analyzer_disulf.csv_F_fa-intra-rep,FurmanLab_interface_analyzer_disulf.csv_F_fa-intra-sol-xover4,FurmanLab_interface_analyzer_disulf.csv_F_sc-value,Kiharalab_feature.csv_F_DFIRE,Kiharalab_feature.csv_F_GOAP,Kiharalab_feature.csv_F_DOVE,Kiharalab_feature.csv_F_GNN-DOVE,Kiharalab_feature.csv_F_ITScore,Kiharalab_feature.csv_F_PhysicsScore,Kiharalab_feature.csv_F_RosettaInterfaceEnergy,Kiharalab_feature.csv_F_VoroMQA,
VenclovasLab.csv_F_Voronota_glob_sas_area,-0.04010,-0.19304,0.99187,-0.32084,0.00000,0.98855,-0.27528,-0.92111,-0.04937,0.02025,1.00000,-0.35066,-0.12245,-0.02486,-0.02210,0.97343,0.34186,-0.94003,0.16143,0.05131,0.22795,-0.43620,0.19679,0.17573,0.42161,0.45593,0.17978,0.42735,0.45437,0.37585,-0.02429,0.23449,0.40168,0.08363,0.37727,0.44026,0.17970,0.03186,0.99157,-0.43336,0.98842,-0.40592,-0.92113,-0.27169,-0.20950,0.99791,-0.46061,-0.18720,-0.18347,-0.19567,0.97324,0.46470,-0.94047,0.08783,-0.09313,-0.43433,-0.42984,-0.19330,0.50136,0.26031,0.48431,0.44329,-0.11505,0.49599,-0.22366,0.50040,0.29810,0.42644,0.41438,0.27354,-0.49450,0.15027,0.24434,0.44971,0.17358,0.12962,0.02212,0.08712,0.23526,0.14387,0.07870,0.35097,0.19232,0.31448,-0.12439,-0.09725,-0.13805,-0.02170,-0.02735,-0.00316,0.01292,-0.05656,-0.07807,0.15913,-0.00204,0.01200,0.33869,0.10706,0.26313,-0.16548,-0.26409,-0.25217,-0.09812,-0.15998,-0.06526,0.21320,0.35584,0.08639,0.24725,0.83722,-0.52723,-0.23259,-0.48598,0.21870,0.21414,0.23846,0.33457,0.85146,0.26436,0.97040,-0.39931,-0.94410,-0.95844,0.07305,-0.02437,-0.95315,-0.52878,0.07301,-0.01583,
VenclovasLab.csv_F_Voronota_glob_sas_area_per_atom,-0.56369,-0.46918,-0.43675,0.97125,-0.00470,-0.44972,0.92460,0.54531,0.61730,0.46818,-0.35066,1.00000,0.15225,0.15963,0.14957,-0.50136,-0.85063,0.53842,0.22425,0.46994,-0.16609,0.07945,-0.14294,-0.07584,-0.23337,-0.47562,-0.07942,-0.23837,-0.47262,-0.12910,0.02682,-0.05612,-0.41988,-0.04478,-0.15213,-0.47011,-0.69391,-0.61536,-0.43778,0.92463,-0.45047,0.90433,0.54359,0.71429,0.62287,-0.35481,0.93441,0.18055,0.26657,0.31053,-0.50083,-0.84593,0.53836,0.30289,0.58257,0.45690,0.40011,0.14481,-0.50648,-0.13172,-0.39469,-0.46149,0.11658,-0.48593,0.15207,-0.51386,-0.15065,-0.27854,-0.41985,-0.16251,0.52332,-0.07640,-0.41026,-0.48593,-0.13443,-0.17731,-0.15562,-0.06100,-0.15843,0.01115,-0.14754,-0.16768,-0.14158,-0.16724,-0.04247,0.12293,0.01142,-0.09797,-0.06531,-0.07502,-0.09670,-0.10020,0.02159,-0.07912,0.14287,-0.09421,-0.13146,-0.09249,-0.08994,-0.00244,0.24483,0.09453,-0.02128,0.04252,0.01148,-0.14253,-0.22568,-0.06633,-0.15051,-0.34296,0.15051,0.23425,0.25726,0.00364,0.00584,0.02617,-0.22171,-0.28474,-0.03088,-0.43643,0.09441,0.51701,0.52585,-0.09412,0.01288,0.52367,0.22451,-0.08179,-0.56453,
VenclovasLab.csv_F_Voronota_glob_sas_energy,-0.25649,-0.25358,-0.13999,0.13682,0.04475,-0.14612,0.11492,0.32604,0.54716,0.56999,-0.12245,0.15225,1.00000,0.85951,0.82132,-0.15254,-0.15392,0.11574,-0.16743,-0.12126,-0.04672,-0.03725,-0.04534,-0.00950,-0.05421,-0.04639,-0.00706,-0.05114,-0.04461,-0.03578,0.19264,0.18824,0.05594,0.08628,0.07176,-0.00293,-0.23015,-0.24784,-0.14032,0.12474,-0.14633,0.11061,0.32396,0.48651,0.50616,-0.12343,0.13506,0.97165,0.83150,0.75699,-0.15249,-0.14121,0.11571,-0.15505,-0.09537,0.03347,0.03951,0.04678,-0.05695,-0.06520,-0.04045,-0.06780,0.03518,-0.05579,0.04597,-0.06089,-0.08690,0.12971,-0.07500,-0.04385,0.06768,-0.01597,0.01163,-0.05090,0.09248,0.04903,0.08623,0.07293,0.03459,0.08814,0.05438,0.07657,0.07690,-0.02471,0.01057,0.05879,0.04193,0.01993,0.07256,0.02354,0.01822,-0.00634,0.01457,-0.00285,0.00730,-0.03797,-0.02533,0.01622,-0.10215,0.00933,0.05150,0.01561,0.00770,0.06307,0.01689,-0.03733,-0.06545,-0.01291,-0.05167,-0.14749,0.08209,-0.00388,-0.09750,0.06923,0.07698,0.09408,-0.04850,-0.04265,0.15160,-0.15502,-0.05903,0.23519,0.16422,-0.03766,-0.01933,0.16632,0.39584,-0.00608,-0.24083,
VenclovasLab.csv_F_Voronota_glob_sas_energy_norm,-0.29894,-0.27907,-0.04314,0.14450,0.04426,-0.04639,0.16471,0.20882,0.64462,0.68316,-0.02486,0.15963,0.85951,1.00000,0.98904,-0.05746,-0.15906,0.02444,-0.20439,-0.15039,-0.03671,-0.10686,-0.03563,0.02336,0.00847,-0.00147,0.02628,0.01225,0.00110,-0.00775,0.22710,0.28483,0.15334,0.11937,0.15913,0.06479,-0.24134,-0.26118,-0.04374,0.11644,-0.04678,0.13450,0.20677,0.54617,0.58451,-0.02667,0.12687,0.83050,0.93317,0.89661,-0.05732,-0.13422,0.02392,-0.20393,-0.13542,-0.01582,0.01933,0.03996,-0.02020,-0.03251,0.00930,-0.03786,0.03662,-0.01820,0.03368,-0.02836,-0.05513,0.24332,-0.05510,-0.02215,0.04326,0.01292,0.07495,-0.00812,0.05733,0.03522,0.05960,0.03980,0.04641,0.06027,0.03035,0.05199,0.04777,-0.02389,0.00161,0.02503,0.01720,0.01479,0.04967,0.01718,0.01095,-0.00651,-0.00118,0.03539,0.02970,-0.02667,-0.01524,0.01991,-0.07128,-0.00804,0.01590,-0.01737,0.00902,0.05356,0.00716,-0.02468,-0.03070,-0.01738,-0.03497,-0.06531,0.02027,-0.03179,-0.21026,0.03202,0.03682,0.06274,-0.01147,-0.00662,0.07235,-0.06910,-0.06599,0.13322,0.07180,-0.01669,-0.05489,0.07033,0.30775,0.00557,-0.29612,
VenclovasLab.csv_F_Voronota_glob_sas_energy_per_atom,-0.29085,-0.27106,-0.03813,0.13198,0.04036,-0.04105,0.15485,0.19516,0.63713,0.68271,-0.02210,0.14957,0.82132,0.98904,1.00000,-0.05068,-0.15655,0.01875,-0.21917,-0.16287,-0.03633,-0.10767,-0.03594,0.02967,0.01458,0.00725,0.03263,0.01834,0.00997,-0.00766,0.23487,0.29453,0.17602,0.12707,0.16826,0.07977,-0.22950,-0.25239,-0.03876,0.10394,-0.04145,0.12376,0.19296,0.53653,0.58168,-0.02396,0.11680,0.79302,0.91882,0.90542,-0.05052,-0.13048,0.01805,-0.22184,-0.14959,-0.02623,0.01607,0.04043,-0.01212,-0.02674,0.01613,-0.03304,0.03719,-0.01018,0.03378,-0.02156,-0.05028,0.25179,-0.05307,-0.02159,0.03888,0.01937,0.09352,0.00058,0.05318,0.03749,0.05864,0.03532,0.05190,0.05099,0.02994,0.04645,0.04617,-0.02609,0.00215,0.01744,0.01582,0.01949,0.05280,0.01838,0.01520,-0.00120,-0.00432,0.04306,0.02142,-0.02185,-0.01635,0.02121,-0.07101,-0.00847,0.00585,-0.01765,0.01415,0.05995,0.00843,-0.02610,-0.02929,-0.02061,-0.03574,-0.05990,0.01372,-0.03622,-0.21776,0.03078,0.03548,0.06115,-0.00821,-0.00350,0.06860,-0.06184,-0.06580,0.12270,0.06378,-0.01124,-0.05806,0.06228,0.29195,0.00490,-0.28694,
VenclovasLab.csv_F_Voronota_glob_nonsas_area,0.05739,-0.08372,0.99466,-0.46292,-0.00083,0.99622,-0.41505,-0.96571,-0.15939,-0.06485,0.97343,-0.50136,-0.15254,-0.05746,-0.05068,1.00000,0.47953,-0.98007,0.11758,-0.03259,0.23932,-0.40497,0.20735,0.16788,0.41554,0.47324,0.17244,0.42182,0.47161,0.36798,-0.03763,0.21359,0.41750,0.07575,0.36101,0.45875,0.26856,0.13443,0.99458,-0.54899,0.99623,-0.52206,-0.96466,-0.36929,-0.28858,0.97244,-0.57940,-0.21612,-0.21565,-0.22716,0.99981,0.57631,-0.98015,0.04399,-0.17602,-0.44987,-0.43797,-0.20494,0.52417,0.25912,0.49196,0.46027,-0.12752,0.51657,-0.23350,0.52477,0.29940,0.42328,0.42910,0.28008,-0.52156,0.14489,0.26079,0.46874,0.17888,0.15209,0.04584,0.08430,0.23963,0.12221,0.09436,0.35106,0.20128,0.31692,-0.10912,-0.10930,-0.13207,-0.00716,-0.01610,0.01314,0.03368,-0.04229,-0.07609,0.15366,-0.02808,0.01738,0.33627,0.11664,0.25784,-0.15499,-0.27147,-0.25086,-0.09191,-0.14881,-0.05844,0.22358,0.36945,0.09321,0.25471,0.82519,-0.50501,-0.22983,-0.47526,0.18210,0.17640,0.19030,0.34835,0.82261,0.23009,0.97331,-0.36989,-0.97326,-0.99354,0.08562,-0.02339,-0.98798,-0.52077,0.08007,0.07585,
VenclovasLab.csv_F_Voronota_glob_nonsas_area_per_atom,0.37919,0.34939,0.42065,-0.70101,0.00514,0.42882,-0.68805,-0.50383,-0.46297,-0.35695,0.34186,-0.85063,-0.15392,-0.15906,-0.15655,0.47953,1.00000,-0.49446,-0.00753,-0.31216,0.17979,-0.10829,0.17131,0.00296,0.17072,0.37524,0.00723,0.17512,0.37373,0.15408,-0.10155,-0.00132,0.31570,-0.03381,0.08791,0.36685,0.49670,0.46740,0.42236,-0.68655,0.42990,-0.69044,-0.49865,-0.55567,-0.48849,0.34793,-0.79061,-0.17351,-0.24815,-0.29091,0.47854,0.91945,-0.49199,-0.06409,-0.40348,-0.36831,-0.31703,-0.17679,0.41567,0.07549,0.33812,0.37849,-0.14047,0.40652,-0.17867,0.42692,0.11429,0.23040,0.35918,0.17927,-0.44428,-0.00571,0.23725,0.37572,0.13542,0.10657,0.04753,0.08419,0.14072,0.05192,0.10360,0.14107,0.11090,0.19322,-0.03342,0.00220,-0.01575,0.00485,0.06093,0.03159,0.00925,-0.03150,0.01941,0.05592,-0.03108,0.03186,0.09822,0.05827,0.12999,-0.09458,-0.06446,-0.11306,-0.08567,-0.05724,-0.05802,0.17388,0.21491,0.12338,0.18065,0.33877,-0.10613,-0.16281,-0.20516,-0.01472,-0.01737,-0.07795,0.22136,0.26403,-0.00575,0.40220,-0.09651,-0.49595,-0.49783,0.08745,-0.00984,-0.50132,-0.25093,0.09086,0.37531,
VenclovasLab.csv_F_Voronota_glob_nonsas_energy,-0.17263,-0.01459,-0.96852,0.50643,0.00799,-0.97383,0.43289,0.97674,0.24438,0.14893,-0.94003,0.53842,0.11574,0.02444,0.01875,-0.98007,-0.49446,1.00000,0.02920,0.18076,-0.22594,0.34829,-0.19644,-0.15028,-0.38441,-0.46805,-0.15523,-0.39097,-0.46627,-0.34749,0.04663,-0.18809,-0.41765,-0.06173,-0.32916,-0.45585,-0.36320,-0.22187,-0.96831,0.58351,-0.97375,0.53701,0.97424,0.43558,0.35502,-0.93883,0.60792,0.17775,0.18022,0.19571,-0.97999,-0.58872,0.99950,0.09419,0.31095,0.44703,0.43524,0.19262,-0.52886,-0.24358,-0.47869,-0.45417,0.11797,-0.51952,0.22177,-0.52910,-0.28520,-0.41885,-0.42142,-0.26955,0.52518,-0.12955,-0.28035,-0.46557,-0.16245,-0.15596,-0.06124,-0.06473,-0.23599,-0.08185,-0.10165,-0.33337,-0.19493,-0.29749,0.09162,0.13032,0.12017,-0.00320,0.02008,-0.01951,-0.04701,0.02991,0.08419,-0.15786,0.05825,-0.02062,-0.31924,-0.11967,-0.24583,0.13589,0.27444,0.23269,0.07601,0.13876,0.04757,-0.21071,-0.35504,-0.08302,-0.23921,-0.79093,0.49059,0.23219,0.46969,-0.12669,-0.11550,-0.14243,-0.33649,-0.75720,-0.16466,-0.93099,0.33324,0.97103,0.98473,-0.08709,0.03471,0.97637,0.48187,-0.07494,-0.18249,
VenclovasLab.csv_F_Voronota_glob_nonsas_energy_norm,-0.76056,-0.62598,0.13813,0.30077,0.03527,0.12602,0.16360,-0.00836,0.51428,0.52753,0.16143,0.22425,-0.16743,-0.20439,-0.21917,0.11758,-0.00753,0.02920,1.00000,0.95007,0.09849,-0.41068,0.09478,0.06301,0.19713,0.03422,0.06580,0.20180,0.03912,0.14878,-0.02213,0.11129,-0.02858,0.02652,0.18477,0.01070,-0.61244,-0.53331,0.13955,0.24393,0.12675,0.13688,-0.01488,0.37714,0.40246,0.16542,0.17923,-0.18472,-0.23777,-0.23769,0.11624,-0.02066,0.02795,0.97252,0.87045,-0.04350,-0.06620,-0.10196,-0.04611,0.08647,0.13104,0.06657,-0.07393,-0.02651,-0.10135,-0.04222,0.10737,0.07719,0.10395,0.09873,0.03465,0.03514,-0.26220,0.00340,0.05393,-0.05325,-0.07321,0.06573,0.01054,0.17086,-0.01293,0.10468,0.03559,0.13579,-0.12181,0.05281,-0.08289,-0.09724,-0.03873,-0.07943,-0.09689,-0.09058,0.05258,-0.01590,0.19023,-0.02724,0.13080,0.01090,0.12970,-0.14572,0.00101,-0.12899,-0.14171,-0.10258,-0.11012,0.11213,0.12129,0.09172,0.12151,0.18775,-0.03037,0.02882,-0.07458,0.10665,0.11773,0.08561,0.09888,0.21128,0.13722,0.17746,-0.15504,-0.05112,-0.07831,0.00159,0.04845,-0.09057,-0.16415,0.06121,-0.74644,
VenclovasLab.csv_F_Voronota_glob_nonsas_energy_per_atom,-0.83739,-0.70067,0.00501,0.49609,0.03366,-0.00900,0.36426,0.14586,0.63148,0.60973,0.05131,0.46994,-0.12126,-0.15039,-0.16287,-0.03259,-0.31216,0.18076,0.95007,1.00000,0.03799,-0.35669,0.03679,0.06388,0.13932,-0.07954,0.06495,0.14218,-0.07476,0.09402,0.01284,0.11002,-0.12020,0.03936,0.15294,-0.09927,-0.73374,-0.65135,0.00580,0.43761,-0.00866,0.33897,0.13783,0.52957,0.53107,0.05315,0.40868,-0.13163,-0.15425,-0.13810,-0.03355,-0.29936,0.17863,0.93787,0.95075,0.07325,0.03936,-0.04177,-0.16815,0.06232,0.02064,-0.05217,-0.02583,-0.14695,-0.04089,-0.16816,0.06870,0.00094,-0.01340,0.03872,0.16680,0.04071,-0.30676,-0.10728,0.00784,-0.08417,-0.08545,0.03653,-0.03271,0.14360,-0.04608,0.05701,0.00052,0.06845,-0.10513,0.04672,-0.07710,-0.09339,-0.05668,-0.08466,-0.09455,-0.07585,0.04545,-0.03013,0.18693,-0.03654,0.09820,-0.00534,0.08191,-0.10834,0.01710,-0.09060,-0.10610,-0.07956,-0.08394,0.05255,0.05099,0.04710,0.05962,0.07755,-0.00001,0.07963,-0.00624,0.10601,0.11783,0.10596,0.02841,0.12443,0.13264,0.04897,-0.12035,0.10326,0.07725,-0.02450,0.05213,0.06630,-0.08233,0.03000,-0.82335,
VenclovasLab.csv_F_Voronota_iface_atoms,-0.01776,-0.09911,0.23578,-0.14387,0.00170,0.23443,-0.13958,-0.22512,-0.03316,-0.00105,0.22795,-0.16609,-0.04672,-0.03671,-0.03633,0.23932,0.17979,-0.22594,0.09849,0.03799,1.00000,-0.06622,0.99206,-0.63292,0.07943,-0.27223,-0.63428,0.07087,-0.27765,0.93954,-0.65172,0.00113,-0.28834,-0.67146,0.02173,-0.28535,-0.13287,-0.20866,0.25405,0.04707,0.24634,0.05116,-0.17918,0.11801,0.13429,0.28996,0.05025,0.05889,0.05494,0.07650,0.22091,-0.05115,-0.20557,0.10572,0.11483,0.24062,0.24859,-0.99065,-0.40557,-0.52906,-0.30878,-0.26480,-0.97396,-0.40906,-0.99268,-0.40946,-0.43535,-0.24962,-0.25538,0.98120,0.41330,-0.60737,-0.06701,-0.25657,0.84118,0.43590,0.38381,0.58234,0.52500,0.55711,0.46043,0.53507,0.38050,0.52238,0.26899,0.48621,0.51537,0.35388,0.44621,0.25531,0.00720,-0.01973,0.03659,0.03464,0.01271,0.02882,0.05161,0.00013,0.02006,-0.04936,-0.03139,0.00198,-0.01209,-0.05258,-0.08284,0.91811,0.79680,0.88893,0.91873,0.60016,0.60818,0.30153,0.23233,0.20007,0.17874,0.08599,0.87320,0.25645,0.20544,0.25257,-0.12730,-0.23213,-0.23891,0.15466,-0.00571,-0.23549,-0.66995,0.00719,0.00348,
VenclovasLab.csv_F_Voronota_iface_atoms_light_score,0.40659,0.44719,-0.42174,0.05873,-0.02431,-0.41803,0.04678,0.32344,-0.29280,-0.35065,-0.43620,0.07945,-0.03725,-0.10686,-0.10767,-0.40497,-0.10829,0.34829,-0.41068,-0.35669,-0.06622,1.00000,-0.04004,-0.42962,-0.66658,-0.44915,-0.44135,-0.68937,-0.45805,-0.24301,-0.34360,-0.66028,-0.45159,-0.41562,-0.77055,-0.46483,0.09423,0.15067,-0.42065,0.16184,-0.41687,0.16330,0.34800,-0.02618,-0.07597,-0.43347,0.17866,0.05766,0.06913,0.07672,-0.40446,-0.19353,0.35841,-0.30956,-0.20021,0.49847,0.52763,0.03248,-0.30726,-0.40809,-0.47245,-0.41953,-0.03893,-0.32672,0.07017,-0.29232,-0.39223,-0.48164,-0.40406,-0.13525,0.26221,-0.36859,-0.26464,-0.40735,-0.02994,-0.09580,0.05081,0.02827,-0.18953,-0.11098,-0.01589,-0.26456,-0.11972,-0.27631,0.24129,0.25489,0.31181,0.10790,0.08201,0.01441,-0.07526,0.06922,0.05683,-0.22130,-0.10459,0.00768,-0.35481,-0.11263,-0.31050,0.24166,0.36761,0.38171,0.12303,0.12030,0.02200,-0.08196,-0.24986,0.04624,-0.09543,-0.41722,0.29969,0.23421,0.50908,-0.10700,-0.11906,-0.16058,-0.20243,-0.38821,-0.13117,-0.41912,0.34291,0.34841,0.38450,-0.06624,0.00353,0.38634,0.05293,-0.06014,0.39640,
VenclovasLab.csv_F_Voronota_iface_area,-0.02176,-0.09374,0.20396,-0.11631,0.00042,0.20311,-0.10886,-0.19676,-0.02785,-0.00162,0.19679,-0.14294,-0.04534,-0.03563,-0.03594,0.20735,0.17131,-0.19644,0.09478,0.03679,0.99206,-0.04004,1.00000,-0.68151,0.03271,-0.32088,-0.68328,0.02340,-0.32652,0.92854,-0.68365,-0.03400,-0.33215,-0.71413,-0.02470,-0.33254,-0.15847,-0.22628,0.22251,0.08294,0.21522,0.09035,-0.14784,0.14365,0.15658,0.25969,0.08304,0.07005,0.07009,0.09383,0.18873,-0.07353,-0.17471,0.11219,0.12868,0.28600,0.29544,-0.99839,-0.44511,-0.57537,-0.35329,-0.30942,-0.98621,-0.44869,-0.99821,-0.44822,-0.47685,-0.28755,-0.29534,0.98279,0.45030,-0.65454,-0.10784,-0.30453,0.82975,0.42116,0.37064,0.58288,0.51096,0.54361,0.44073,0.50276,0.35928,0.49747,0.26659,0.51511,0.53695,0.34821,0.45739,0.25464,-0.00496,-0.03234,0.05111,0.02251,0.01803,0.00932,0.02639,-0.01275,0.00307,-0.05373,0.01173,0.02192,-0.01572,-0.03759,-0.08155,0.92115,0.77832,0.90671,0.92071,0.56999,0.64167,0.32024,0.27408,0.15133,0.13096,0.04664,0.86194,0.21558,0.16135,0.21523,-0.10128,-0.20101,-0.20650,0.15703,-0.00435,-0.20365,-0.67461,0.00237,-0.00444,
VenclovasLab.csv_F_Voronota_iface_energy,-0.04525,-0.05242,0.17253,-0.10153,-0.01424,0.17277,-0.07570,-0.14508,0.04412,0.07114,0.17573,-0.07584,-0.00950,0.02336,0.02967,0.16788,0.00296,-0.15028,0.06301,0.06388,-0.63292,-0.42962,-0.68151,1.00000,0.64124,0.72884,0.99794,0.64711,0.72991,-0.49597,0.79232,0.47600,0.65643,0.94815,0.63209,0.70962,0.29537,0.27430,0.15847,-0.31700,0.16325,-0.30628,-0.21304,-0.31041,-0.29794,0.12915,-0.31132,-0.19811,-0.22096,-0.24867,0.18069,0.26282,-0.18076,-0.07947,-0.16580,-0.67881,-0.67074,0.68857,0.62838,0.91749,0.73451,0.69905,0.73270,0.63673,0.65718,0.61810,0.79669,0.66077,0.64655,-0.59214,-0.59393,0.97944,0.56685,0.71982,-0.51978,-0.14362,-0.28111,-0.39419,-0.13362,-0.25318,-0.28671,-0.03238,-0.07644,-0.05831,-0.43562,-0.65219,-0.71043,-0.36921,-0.37713,-0.16532,0.13532,-0.03832,-0.04296,0.19339,0.06906,-0.03450,0.31738,0.15023,0.24594,-0.20016,-0.36909,-0.38838,-0.13039,-0.05896,0.05859,-0.59530,-0.27491,-0.74624,-0.58586,-0.04923,-0.72881,-0.43042,-0.59120,0.02750,0.03824,0.08470,-0.36273,0.15432,0.03190,0.17069,-0.20204,-0.14414,-0.15926,-0.08280,-0.00725,-0.15641,0.48407,0.07953,-0.04974,
