pdb-id,I_physiological_score,Training
6h3u_14,0.434783,0
4ex4_1,0.676471,0
5y9h_6,0,0
3woa_1,0.956522,0
4aqt_3,0.375,0
3nuh_5,0.147059,0
4p3o_5,0.5,0
6as7_3,0.0243902,0
1q1e_2,0.40625,0
5jrh_1,0,0
5fn0_6,0.125,0
1pp3_2,0.69697,0
1si5_3,0.136364,0
5w5i_6,0,0
5ca9_6,1,0
6bm9_1,0.686047,0
6eet_1,0.0857143,0
3oym_4,0.65,0
4i1m_4,0.592593,0
3grl_1,0.525,0
5xq1_1,0.433962,0
5k4b_1,0.722222,0
3lya_4,0.657143,0
3tgo_11,0.416667,0
5e6m_3,0,0
3qb2_9,0.974359,0
2xss_2,0.628205,0
1hsj_1,0.612245,0
2znh_1,0.711712,0
6w25_2,0.371429,0
5y5w_17,0.733333,0
2iut_6,0.588235,0
5ex9_2,0.267606,0
5nfo_5,0,0
4aw3_1,0.166667,0
5jk9_1,0.875,0
5csa_6,0.0175439,0
1kcm_6,0.971429,0
1c16_14,0.827586,0
5jgk_1,0,0
1alu_1,0.619048,0
6cjs_3,0.111111,0
5c3q_18,0.15625,0
6b72_1,0,0
5zln_1,0.339623,0
3fg6_42,0,0
6lnp_1,0.666667,0
4nxw_2,0,0
3rmk_3,0.911765,0
5y5w_3,0.756757,0
3okt_4,0.780488,0
2rax_22,0.96,0
5uqm_2,0,0
3u8z_2,0.597015,0
2yaz_6,0.175,0
4gvl_7,0.27027,0
1b23_4,0,0
6beb_5,0.793103,0
2xeq_1,0.214286,0
1zbh_2,0.275862,0
2w68_11,0.173913,0
3bxx_1,0.442308,0
5na8_5,0.121212,0
6fnz_4,0.816327,0
1g68_1,0.304348,0
4aqf_9,0.395349,0
5f3k_1,0.540541,0
5yik_15,0.428571,0
5yii_2,0.628571,0
5wme_4,1,0
5hb4_7,0,0
3zrt_1,0.529412,0
5mz4_7,0.128205,0
5ytb_12,0,0
5gkx_4,0.948718,0
3ml6_7,0.272727,0
5mus_1,0.738636,0
3rt0_1,0.108108,0
1t1l_1,0.540541,0
4jc8_1,0.868421,0
4u59_2,0.72093,0
4hhe_4,0.680851,0
6epp_2,0.0789474,0
5msn_1,0.574074,0
3prb_7,0.0952381,0
1br1_20,0.675,0
4f7r_11,0.96875,0
6jod_12,0.625,0
5uos_1,0.148148,0
4wwc_3,0.277778,0
5zmd_1,0.857143,0
1dgk_1,0.0666667,0
6o8b_4,0,0
4xss_5,0.131579,0
4fna_6,0.025,0
3hgv_3,0.147059,0
5eg8_1,0.8,0
5xwm_1,0,0
2iut_1,0.676471,0
5znd_3,0.645161,0
6a16_5,0.814815,0
3kph_1,0.917808,0
3mt5_4,0.2,0
3s4r_7,0.8125,0
1zcj_3,0.755102,0
3aln_1,0.477273,0
2wnh_2,0.219512,0
3wkl_2,0.030303,0
4w8j_6,1,0
4c0o_1,0.162162,0
3jw0_13,0.208333,0
4g3u_6,0.933333,0
3blc_3,0.585366,0
3a44_1,0.644737,0
5zhq_1,0.09375,0
4ju5_1,0.642857,0
3fe1_7,0.766667,0
5gyr_7,0.901639,0
4wph_1,0.288889,0
6qsn_1,0.40678,0
6fhm_1,0.608696,0
1rk4_1,0.96,0
5f5m_14,0.764706,0
4gmg_11,0.30303,0
5y9h_4,0,0
4epl_2,0.25641,0
3fjo_2,0,0
5iu2_1,0.322581,0
1e0r_2,0.28,0
4da4_1,0.585366,0
6mav_7,0,0
2o7m_6,0.64,0
1syq_8,0.230769,1
1lee_3,0.818182,0
2uzj_8,0.756757,0
4ov8_5,0.28,0
4bla_10,0,0
3frs_2,0.409091,0
2ac1_3,0.225806,0
4ayn_1,0.606061,0
3ro8_19,0.791667,0
1taq_5,0.163265,1
6aeg_3,0.0909091,0
2erc_1,0.0571429,0
4g37_4,0,0
5onc_1,0.754386,0
4u9o_3,0.484848,0
1tf5_1,0.28125,0
1ku2_4,0.0833333,0
2g3p_1,0.727273,0
6qu4_11,0.484848,0
4b87_1,0.366667,0
1e6c_1,0.736842,0
2brv_1,0.5,0
1t3w_1,0.97561,0
4nif_2,0.807692,0
1azt_1,0.166667,0
4wzh_4,0.115385,0
1yln_1,0.533333,0
6a17_1,0.76,0
6ehg_10,0,0
4ngf_4,0.678571,0
3sti_6,0.666667,0
1ors_10,0.692308,0
5omn_2,0.342857,0
5xpu_3,0.796296,0
3zyl_1,0.88,0
6ucm_16,0.571429,0
3ihr_3,0,0
1cyy_5,0.5625,0
6qpp_2,0.947368,0
5uvc_5,0.384615,0
2ajq_9,0,0
3a9i_1,0.586957,0
4c0s_1,0.263158,0
3ut0_7,0.1,0
4oar_3,0.741935,0
3wgn_3,0.485714,0
4a12_9,0.230769,0
5wly_5,0.285714,0
3opu_23,0.357143,0
4lhc_2,0.44186,0
3pim_1,0.885714,0
3g0f_1,0.589744,0
3die_1,0.410959,0
5f5r_2,0,0
3eij_1,0.621622,0
1k1y_4,0.375,0
5hb0_7,0.666667,0
3ftj_3,0.709677,0
6jol_2,0,0
5fgo_1,1,0
4zhr_4,0.0857143,0
5tdq_2,0.631579,0
6fjv_2,0.956522,0
6nc7_1,0.21875,0
6h4h_10,0.0625,0
3aos_1,0.5,0
3aad_12,0.842105,0
5wtx_4,0.212766,0
5n71_4,0.5,0
3cz7_3,0.75,0
4yl6_4,1,0
1g73_7,0.962963,0
1qex_6,0.971429,0
5l7d_1,0.255814,0
2j3z_7,0,0
4ayg_2,0.416667,0
4g0b_5,0.333333,0
3hy1_5,0.180328,0
6fb3_1,0,0
1pcz_1,0.521739,0
1k46_1,0.979592,0
1fcf_6,0.0384615,0
1a17_6,0.585366,0
1eku_1,0.0810811,0
1fr1_1,0.5,0
1i49_3,0.6,1
1rp5_3,0.0576923,0
1sw2_4,0.03125,0
1xrc_5,0.3,0
2ntx_3,0.888889,0
2p22_22,0.586207,0
2vj4_7,0.791667,0
2xdp_6,0.962963,0
2xeq_5,0.423077,0
2yvq_2,0.783784,0
2zz8_1,0.756757,0
3b39_3,0.16129,0
3c8x_2,0.875,0
3dxb_16,0.916667,0
3ffn_1,0.0909091,0
3fg3_1,0.414634,0
3tg8_4,0.571429,0
4ccf_7,0.923077,0
4gc9_1,0.757576,0
4gdy_11,0.363636,0
4iry_1,0.535714,0
4n4a_3,0.333333,0
4q7j_22,0.3125,0
4rxj_2,0.864865,0
4twa_2,0.166667,0
4w4j_5,0.0294118,0
4zdu_4,0.0625,0
5f5m_2,0.820513,0
5h7z_5,0.0526316,0
5iqw_2,0.625,0
5xbi_1,0.766667,0
5yfn_4,0.4375,0
5ztf_1,0.305556,0
6b5q_7,0.192308,0
6f1k_1,0.25,0
6f6p_1,1,0
6fwt_2,0.35,0
6gjq_3,0.8,0
6gzc_3,0.731707,0
6hzl_2,0.324324,0
6nfl_3,0.277778,0
6o9q_5,0.178571,0
1ibd_1,0.0714286,0
1bww_1,0.888889,0
4jz2_1,0.875,0
4re8_3,0.833333,0
1nfs_1,0.526316,0
1to4_1,0.684211,0
2pl1_1,0.809524,0
3pyi_1,0.777778,0
4mdh_1,0.818182,0
3oco_1,0.866667,0
2w0l_2,0.875,0
2ywa_1,0.304348,0
3f8h_1,0.823529,0
3teq_3,1,0
3teq_1,1,0
1qq7_1,0.688889,0
3gff_1,0.375,0
2v3t_1,0,0
1wn2_1,0.909091,0
5eo6_1,0.884615,0
3hyq_2,0.470588,0
1z9p_1,0.25,0
1t0i_1,0.645161,0
3bwv_1,0.85,0
2tpt_1,0.705882,0
3uro_2,0,0
3wpw_1,0.263158,0
3n77_3,0.636364,0
1v2z_1,1,0
4o1r_2,0.384615,0
1i74_1,0.894737,0
1q7s_3,0.68,0
4rfp_1,0.894737,0
4xas_1,0.333333,0
3rtl_6,0.538462,0
1psq_1,0.833333,0
2r8q_1,1,0
2hjd_1,0.88,0
2cx4_1,0.409091,0
2d13_2,0.913043,0
3wud_1,0.8125,0
1ixq_2,0.666667,0
1slb_2,0.722222,0
2r7h_1,0.473684,0
3kg7_2,0,0
3ljs_1,0.761905,0
4o1w_1,0.631579,0
2aca_1,0.73913,0
4a7p_1,0.543478,0
2qlx_2,0.969697,0
3rbg_2,0.529412,0
2nvn_1,0.9,0
1y7y_1,0.9375,0
2cc3_1,0.730769,0
3c8j_1,0.625,0
4gmk_1,0.782609,0
3lyn_1,1,0
3c5q_1,0.828571,0
2zvz_1,0.5,0
1z72_1,1,0
1s9c_6,0.7,0
3woi_1,0.444444,0
1sfl_1,0.65,0
1ail_1,0.962963,0
2ew2_1,0.904762,0
2oai_1,0.409091,0
3eul_6,0.1875,0
1np6_1,0.907407,0
1m2a_1,0.928571,0
3hx8_2,0.714286,0
2oik_2,0.862069,0
2e46_1,0.3,0
3l18_1,0.733333,0
2jfp_1,0.4,0
4o9k_1,1,0
2yxz_2,0.966102,0
3hh7_1,1,0
1m08_1,0.0714286,1
2iy2_1,0.809524,0
1zsz_1,0.933333,0
3clk_1,0.411765,0
1oya_1,0.571429,0
1wwp_1,0.277778,0
1xi3_1,0.55,0
3tzu_1,0.888889,0
1cp2_1,0.607143,0
2gpc_1,0.9375,0
1fvp_1,0.921053,0
4wov_3,0.727273,0
2ogi_1,0.823529,0
2wfc_1,0.75,0
4kv9_1,0.227273,0
3r8c_1,0.428571,0
3lhr_1,0.9375,0
5cjj_1,0.588235,0
1j8b_1,0.789474,0
3crj_1,0.25,0
3dvi_1,0.904762,0
1tvd_1,0.88,0
3pc7_1,0.470588,1
3cwc_1,0.791667,0
4g2e_1,0.333333,0
4exo_1,0.8125,0
3kcn_1,0.947368,0
4guz_5,0.714286,0
3g7p_1,0.875,0
2qrr_1,0.862069,0
3mq4_1,0.625,0
2fhq_1,0.758621,0
3w64_1,0.785714,0
3c9g_1,0.75,0
1eeq_1,1,0
4xws_2,0.46875,0
2hk3_1,0.652174,0
3hj6_1,0.7,0
1r5q_2,0.952381,0
2p5u_1,0.777778,0
1uat_2,0.789474,0
4d9o_1,0.592593,0
4ppy_1,0.62963,0
3eus_1,1,0
2a4a_3,0.727273,0
1ns5_1,0.866667,0
1rcw_2,0.722222,0
4q7e_1,0.944444,0
4j9a_11,0.4,0
4ljk_2,0.722222,0
4jdl_2,0.466667,0
2eav_1,0.666667,0
2vrn_1,0.333333,0
1xuq_1,0.941176,0
1ktn_1,0.944444,0
2q4n_1,0.88,0
1v2a_1,0.607143,0
4lza_1,0.648649,0
3b4u_1,0.757576,0
3cwn_2,0.842105,0
2dsj_1,0.944444,0
3knz_3,0.840909,0
3m45_2,0.210526,0
1nvt_1,0.896552,0
1kez_1,0.791667,0
3rjs_1,0.85,0
4yxf_1,0.852941,0
2xj3_1,0.842105,0
2h8k_1,0.5,0
5c6m_2,0.333333,0
3qm2_1,0.875,0
2hng_1,1,0
3ift_2,0.809524,0
1qvw_1,0.307692,0
1yem_1,0.736842,0
3g0k_1,0.866667,0
2ppv_1,0.9,0
3dex_1,0.842105,0
1qmj_1,0.6,0
1dp4_1,0.6,0
1dp4_2,0.7,0
1u20_1,0.939394,0
4dj2_1,0.354839,0
4mhr_2,0.590909,0
2oqt_5,0.473684,0
3l6b_1,0.954545,0
4nxf_1,0.894737,0
4oie_1,1,0
3hjp_1,0.473684,0
4nvr_1,0.826087,0
3lpm_1,0.857143,0
1nzi_1,0.939394,0
2ze3_1,0.852459,0
2f96_1,0.703704,0
2o9a_1,0.647059,0
4u04_1,0.238095,0
2ovg_3,1,0
3l0z_5,0.368421,0
3ppe_1,0.6,0
3uf5_1,0.8,0
3d7a_1,0.8125,0
3r03_1,0.75,0
4oky_1,0.764706,0
2e1d_1,0.777778,0
3pm7_1,0.791667,0
2oo2_1,0.95,0
2idl_1,1,0
4hwx_1,0.1,0
4o7v_1,0.923077,0
4ese_1,0.888889,0
1ujn_1,0.904762,0
2q30_4,0.9,0
2pwj_2,0.777778,0
5eq9_1,0.909091,0
1fe0_1,0.2,0
3tqj_1,0.944444,0
4pob_1,1,0
3hzu_1,0.32,0
3lrq_1,0.913043,0
3lrq_2,0.76,0
2ikk_1,0.666667,0
2nx9_1,0.964286,0
1a3a_1,0.88,0
3hqx_1,1,0
3l5z_1,0.826087,0
4ttw_1,0.333333,0
3dvf_1,1,0
2qsq_1,0.631579,0
3r8e_1,0.818182,0
3obh_1,0.913043,0
2yvu_1,0.954545,0
3o9s_1,0.833333,0
3trc_1,0.826087,0
1fse_3,1,0
2ebb_1,0.9375,0
2f6s_1,0.227273,0
3ajz_1,0.875,0
4q97_1,0.448276,0
2dwu_1,0.814815,0
3zrd_1,0.4375,0
4zrn_1,0.741935,0
3q64_1,0.48,0
4rz0_1,0.678571,0
2x6g_7,0.277778,0
1is3_1,0.666667,0
2snw_1,1,0
2ewt_1,0.909091,0
2vpk_1,0.62963,0
3v6n_1,0,0
3rt2_2,0.259259,0
1hux_1,1,0
2itf_5,0.636364,0
1qya_1,0.916667,0
3kza_1,0.454545,0
4dvh_1,0.944444,0
2e2c_1,0.230769,0
4hf7_1,0.684211,0
3chi_1,0.652174,0
4zwv_1,0.72,0
3bjr_1,0.25,0
1udv_1,0.9375,0
4muo_1,0.785714,0
1kut_1,0.894737,0
3pc6_1,0.428571,1
2gsl_3,0.869565,0
2pls_5,0.285714,0
2bho_1,0.958333,0
2omk_1,0.875,0
2rc3_2,0.925926,0
2z7c_2,0.9,0
4ckl_2,0.888889,0
1vh0_8,0.964286,0
4fbi_1,1,0
1ukg_1,0.210526,0
4dj3_1,0.428571,0
3bs3_1,0.5,0
1dvr_1,0.5,0
3do5_1,0.4,0
2a8f_1,0.833333,0
3cnk_1,0.538462,0
3d8u_1,0.382353,0
3r0n_1,0.708333,0
3pl2_2,0.5,0
1mft_1,0.923077,0
3da8_1,0.958333,0
4dkc_1,1,0
1xty_2,1,0
1gam_1,0.785714,0
3fb3_1,0.86,0
2z00_2,0.478261,0
3c6b_1,0.95,0
4fdb_1,0.764706,0
4fr2_1,0.09375,0
3ppl_1,0.795918,0
4tmb_2,0.5,0
1ha4_1,0.571429,0
2bm5_1,0.857143,0
4x0r_1,0.72,0
3igd_1,0.105263,0
3h2d_1,0.666667,0
2r3v_6,0.578947,0
2dpf_1,0.935484,0
2q24_2,0.9,0
3f9s_1,0.833333,0
4j2p_1,0.8,0
2f00_1,0.703704,0
2dc4_1,0.9375,0
3bl8_1,0,0
4nuq_1,0.411765,0
3hhv_1,0.307692,0
2imz_1,0.545455,0
3oet_2,0.416667,0
3dh1_1,0.769231,0
1jhe_1,0.388889,0
2h9u_1,0.777778,0
3lza_1,0.809524,0
3zpg_1,0.738095,0
1cdt_1,0.857143,0
1zzh_2,0.484848,0
1erv_1,0.333333,0
4kgb_1,0.604167,0
2gff_1,0.954545,0
3ter_1,0.818182,0
3ksh_1,0.875,0
1mqd_4,0.16,0
1ysj_1,0.857143,0
1d5w_2,0.454545,0
3dih_2,0.789474,0
1xvq_2,0.772727,0
3orr_1,0.74359,0
2q5c_3,0.916667,0
1o6d_2,0.863636,0
2cw2_1,1,0
2zu1_3,0.866667,0
4e04_1,0.534884,0
2gwh_1,0.75,0
4qxw_1,0.809524,0
3n3m_1,0.934783,0
3vx3_1,0.771429,0
1uou_1,0.952381,0
1yad_2,0.263158,0
1prx_1,0.758621,0
3lp9_1,0.647059,0
1ewj_2,0.733333,0
4ina_1,1,0
3ctz_1,0.457143,0
3jth_1,0.925926,0
2hku_1,0.461538,0
3rpc_2,0.64,0
2pij_1,0.5625,0
4nsv_1,0.473684,0
2yy9_1,0.95,0
2wui_1,0.448276,0
3vnf_2,0.52381,0
2rcv_2,1,0
3dm8_1,0.7,0
3nfc_1,0.875,0
1ov4_1,0.142857,0
2j98_1,0.9,0
2c9s_1,0.631579,0
3lfi_1,0.590909,0
3lxy_1,1,0
3lag_1,1,0
3smd_2,0.863636,0
4omv_1,0.8,0
4ckm_2,1,0
3dka_1,1,0
4chl_1,0.565217,0
3ltv_1,0.611111,0
2dou_1,0.585366,0
3f4k_1,0.277778,0
3qyj_3,0.652174,0
2cw3_1,1,0
2ovi_2,0.714286,0
3i83_1,0.913043,0
1obb_1,0.482759,0
4eht_1,0.692308,0
1ac6_1,1,0
